Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","1991","1991","°c","0.309","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","1992","1992","°c","0.426","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","1993","1993","°c","0.491","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","1994","1994","°c","0.393","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","1995","1995","°c","0.877","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","1996","1996","°c","0.541","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","1997","1997","°c","0.387","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","1998","1998","°c","1.408","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","1999","1999","°c","0.645","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","2000","2000","°c","0.558","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","2001","2001","°c","0.416","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","2002","2002","°c","0.49","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","2003","2003","°c","1.15","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","2004","2004","°c","0.751","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","2005","2005","°c","1.25","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","2006","2006","°c","1.071","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","2007","2007","°c","1.236","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","2008","2008","°c","0.376","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","2009","2009","°c","0.582","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","2010","2010","°c","1.053","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","2011","2011","°c","0.687","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","2012","2012","°c","0.394","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","2013","2013","°c","0.847","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","2014","2014","°c","0.978","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","2015","2015","°c","1.413","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","2016","2016","°c","1.441","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","2017","2017","°c","1.108","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","2018","2018","°c","1.048","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","2019","2019","°c","1.54","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","2020","2020","°c","1.328","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","2021","2021","°c","1.084","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","2022","2022","°c","1.099","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","2023","2023","°c","0.477","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","1961","1961","°c","-0.247","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","1962","1962","°c","-0.03","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","1963","1963","°c","-0.315","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","1964","1964","°c","0.152","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","1965","1965","°c","-0.023","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","1966","1966","°c","0.016","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","1967","1967","°c","-0.166","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","1968","1968","°c","-0.471","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","1969","1969","°c","0.589","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","1970","1970","°c","0.247","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","1971","1971","°c","-0.181","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","1972","1972","°c","-0.431","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","1973","1973","°c","0.867","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","1974","1974","°c","-0.109","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","1975","1975","°c","-0.013","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","1976","1976","°c","-0.442","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","1977","1977","°c","0.05","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","1978","1978","°c","0.265","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","1979","1979","°c","0.06","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","1980","1980","°c","-0.035","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","1981","1981","°c","0.269","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","1982","1982","°c","0.114","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","1983","1983","°c","0.621","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","1984","1984","°c","0.706","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","1985","1985","°c","0.081","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","1986","1986","°c","0.119","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","1987","1987","°c","0.507","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","1988","1988","°c","0.602","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","1989","1989","°c","0.213","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","1990","1990","°c","0.363","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","1991","1991","°c","0.584","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","1992","1992","°c","0.056","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","1993","1993","°c","-0.037","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","1994","1994","°c","0.549","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","1995","1995","°c","0.47","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","1996","1996","°c","0.714","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","1997","1997","°c","0.288","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","1998","1998","°c","1.64","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","1999","1999","°c","0.703","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","2000","2000","°c","0.226","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","2001","2001","°c","0.739","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","2002","2002","°c","0.483","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","2003","2003","°c","0.941","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","2004","2004","°c","0.31","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","2005","2005","°c","0.977","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","2006","2006","°c","1.065","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","2007","2007","°c","0.761","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","2008","2008","°c","0.442","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","2009","2009","°c","0.663","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","2010","2010","°c","1.548","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","2011","2011","°c","0.599","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","2012","2012","°c","0.601","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","2013","2013","°c","0.845","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","2014","2014","°c","0.83","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","2015","2015","°c","0.94","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","2016","2016","°c","1.928","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","2017","2017","°c","1.079","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","2018","2018","°c","0.638","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","2019","2019","°c","1.229","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","2020","2020","°c","1.026","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","2021","2021","°c","0.753","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","2022","2022","°c","1.054","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7002","February","2023","2023","°c","0.732","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","1961","1961","°c","-0.009","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","1962","1962","°c","-0.005","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","1963","1963","°c","0.14","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","1964","1964","°c","-0.16","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","1965","1965","°c","-0.734","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","1966","1966","°c","-0.026","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","1967","1967","°c","-0.193","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","1968","1968","°c","-0.483","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","1969","1969","°c","0.482","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","1970","1970","°c","0.243","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","1971","1971","°c","-0.026","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","1972","1972","°c","-0.004","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","1973","1973","°c","0.639","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","1974","1974","°c","-0.345","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","1975","1975","°c","0.075","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","1976","1976","°c","-0.419","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","1977","1977","°c","0.457","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","1978","1978","°c","0.041","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","1979","1979","°c","-0.046","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","1980","1980","°c","0.43","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","1981","1981","°c","0.264","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","1982","1982","°c","0.167","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","1983","1983","°c","0.312","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","1984","1984","°c","0.434","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","1985","1985","°c","0.355","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","1986","1986","°c","0.051","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","1987","1987","°c","0.295","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","1988","1988","°c","0.831","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","1989","1989","°c","0.129","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","1990","1990","°c","0.793","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","1991","1991","°c","0.366","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","1992","1992","°c","0.288","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","1993","1993","°c","0.721","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","1994","1994","°c","0.215","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","1995","1995","°c","0.725","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","1996","1996","°c","0.572","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","1997","1997","°c","-0.073","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","1998","1998","°c","1.4","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","1999","1999","°c","0.684","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","2000","2000","°c","0.159","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","2001","2001","°c","0.713","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","2002","2002","°c","1.132","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","2003","2003","°c","0.816","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","2004","2004","°c","0.638","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","2005","2005","°c","0.999","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","2006","2006","°c","0.994","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","2007","2007","°c","0.98","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","2008","2008","°c","0.322","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","2009","2009","°c","0.989","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","2010","2010","°c","1.563","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","2011","2011","°c","0.441","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","2012","2012","°c","0.727","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","2013","2013","°c","0.937","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","2014","2014","°c","0.681","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","2015","2015","°c","0.893","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","2016","2016","°c","1.517","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","2017","2017","°c","1.049","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","2018","2018","°c","1.297","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","2019","2019","°c","1.228","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","2020","2020","°c","1.352","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","2021","2021","°c","0.763","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","2022","2022","°c","0.779","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7003","March","2023","2023","°c","1.017","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","1961","1961","°c","0.22","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","1962","1962","°c","-0.029","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","1963","1963","°c","0.158","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","1964","1964","°c","0.242","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","1965","1965","°c","-0.196","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","1966","1966","°c","0.036","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","1967","1967","°c","-0.064","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","1968","1968","°c","-0.846","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","1969","1969","°c","0.381","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","1970","1970","°c","0.48","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","1971","1971","°c","-0.315","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","1972","1972","°c","-0.585","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","1973","1973","°c","1.023","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","1974","1974","°c","-0.024","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","1975","1975","°c","-0.037","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","1976","1976","°c","-0.156","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","1977","1977","°c","0.043","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","1978","1978","°c","-0.071","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","1979","1979","°c","-0.116","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","1980","1980","°c","0.591","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","1981","1981","°c","0.384","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","1982","1982","°c","0.071","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","1983","1983","°c","0.96","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","1984","1984","°c","-0.004","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","1985","1985","°c","0.339","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","1986","1986","°c","0.85","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","1987","1987","°c","0.941","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","1988","1988","°c","0.816","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","1989","1989","°c","0.614","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","1990","1990","°c","1.224","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","1991","1991","°c","0.683","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","1992","1992","°c","0.739","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","1993","1993","°c","0.896","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","1994","1994","°c","0.616","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","1995","1995","°c","0.51","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","1996","1996","°c","0.748","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","1997","1997","°c","0.373","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","1998","1998","°c","1.891","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","1999","1999","°c","0.411","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","2000","2000","°c","0.607","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","2001","2001","°c","1.14","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","2002","2002","°c","1.412","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","2003","2003","°c","1.047","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","2004","2004","°c","1.331","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","2005","2005","°c","1.301","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","2006","2006","°c","0.715","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","2007","2007","°c","1.313","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","2008","2008","°c","0.691","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","2009","2009","°c","0.832","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","2010","2010","°c","1.115","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","2011","2011","°c","0.939","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","2012","2012","°c","1.219","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","2013","2013","°c","0.846","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","2014","2014","°c","1.168","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","2015","2015","°c","1.431","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","2016","2016","°c","2.126","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","2017","2017","°c","1.223","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","2018","2018","°c","1.305","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","2019","2019","°c","1.71","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","2020","2020","°c","1.159","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","2021","2021","°c","0.918","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7004","April","2022","2022","°c","1.19","E","Estimated value"
